kolesa_id,parsed_at,brand,model,generation,year,city,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,color,kz_registration,imgs_count,price,img_filename
221885614,2026-06-05 18:25:50.979467+03:00,Toyota,Land Cruiser Prado,"    2002 - 2009 J120
",2003,"
                                    Сатпаев, Улытауская область

                            ","    Внедорожник
",бензин,4.0,307000,"    Автомат
","    Полный привод
","    Слева
","
                                        черный 
                                    ","    Да
",2,10000000,221885614.webp
220185934,2026-06-05 18:25:54.455182+03:00,Toyota,Highlander,"    2004 - 2007 1 поколение рестайлинг (U2)
",2006,"
                                    Туркестан, Туркестанская область

                            ","    Кроссовер
",бензин,2.4,210000,"    Автомат
","    Передний привод
","    Слева
",,"    Да
",11,6500000,220185934.webp
221876034,2026-06-05 18:25:57.546069+03:00,Toyota,Mark X,"    2004 - 2009 1 поколение
",2007,"
                                    Атырау, Атырауская область

                            ","    Седан
",бензин,2.5,234000,"    Автомат
","    Задний привод
","    Справа
","
                                        серебристый металлик
                                    ","    Да
",10,3300000,221876034.webp
222384778,2026-06-05 18:26:01.706008+03:00,Toyota,Camry,"    2011 - 2014 XV50
",2014,"
                                    Шымкент, Туркестанская область

                            ","    Седан
",бензин,2.5,240000,"    Автомат
","    Передний привод
","    Слева
","
                                        белый металлик
                                    ","    Да
",11,7500000,222384778.webp
222385007,2026-06-05 18:26:04.377818+03:00,Toyota,Ipsum,"    1996 - 2001 1 поколение
",1997,"
                                    Алматы, Алматинская область

                            ","    Минивэн
",бензин,2.0,111111,"    Автомат
","    Передний привод
","    Справа
","
                                        синий 
                                    ","    Да
",9,3200000,222385007.webp
221745884,2026-06-05 18:26:07.860433+03:00,Toyota,Camry,"    2014 - 2018 XV50 рестайлинг (V55)
",2017,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,2.5,189000,"    Автомат
","    Передний привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",13,10000000,221745884.webp
222382402,2026-06-05 18:26:11.394202+03:00,Toyota,Alphard,"    2002 - 2005 1 поколение (H1)
",2004,"
                                    Торткуль, Туркестанская область

                            ","    Минивэн
",бензин,2.4,180000,"    Автомат
","    Передний привод
","    Слева
","
                                        белый 
                                    ","    Да
",7,7500000,222382402.webp
221846598,2026-06-05 18:26:15.464773+03:00,Toyota,Land Cruiser,"    2021 - н.в. J300
",2023,"
                                    Усть-Каменогорск, Восточно-Казахстанская область

                            ","    Внедорожник
",бензин,4.0,3000,"    Автомат
","    Полный привод
","    Слева
",,"    Да
",15,47000000,221846598.webp
222380616,2026-06-05 18:26:19.046340+03:00,Toyota,Camry,"    2011 - 2014 XV50
",2012,"
                                    Астана, Акмолинская область

                            ","    Седан
",бензин,2.5,190000,"    Автомат
","    Передний привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",14,6400000,222380616.webp
221841724,2026-06-05 18:26:22.036622+03:00,Toyota,Camry,"    2009 - 2011 XV40 рестайлинг (V45)
",2011,"
                                    Актау, Мангистауская область

                            ","    Седан
",бензин,2.5,82000,"    Автомат
","    Передний привод
","    Слева
","
                                        серебристый металлик
                                    ","    Да
",23,6300000,221841724.webp
221099737,2026-06-05 18:26:30.376692+03:00,Toyota,Land Cruiser,"    2021 - н.в. J300
",2023,"
                                    Талдыкорган, Жетысуская область

                            ","    Внедорожник
",бензин,3.5,74220,"    Автомат
","    Полный привод
","    Слева
","
                                        белый металлик
                                    ","    Да
",24,54980000,221099737.webp
220881355,2026-06-05 18:26:33.983505+03:00,Toyota,Highlander,"    2019 - н.в. 4 поколение (GSU7/AXUH7)
",2023,"
                                    Астана, Акмолинская область

                            ","    Кроссовер
",бензин,2.4,29000,"    Автомат
","    Полный привод
","    Слева
","
                                        черный 
                                    ","    Да
",6,32000000,220881355.webp
221115310,2026-06-05 18:26:38.270809+03:00,Toyota,Land Cruiser Prado,"    2002 - 2009 J120
",2005,"
                                    Караганда, Карагандинская область

                            ","    Внедорожник
",бензин,2.7,240000,"    Автомат
","    Полный привод
","    Слева
",,"    Да
",10,9422000,221115310.webp
217737325,2026-06-05 18:26:41.842510+03:00,Toyota,Hilux,"    2008 - 2011 7 поколение рестайлинг (N1/N2/N3)
",2009,"
                                    Кызылорда, Кызылординская область

                            ","    Пикап
",бензин,2.7,271275,"    Механика
","    Полный привод
","    Слева
","
                                        белый 
                                    ","    Да
",16,8500000,217737325.webp
220179672,2026-06-05 18:26:45.737794+03:00,Toyota,Camry,"    2009 - 2011 XV40 рестайлинг (V45)
",2010,"
                                    Актау, Мангистауская область

                            ","    Седан
",бензин,2.5,95000,"    Автомат
","    Передний привод
","    Слева
","
                                        серебристый металлик
                                    ","    Нет
",10,7500000,220179672.webp
221804517,2026-06-05 18:26:48.868411+03:00,Toyota,Camry,"    2023 - н.в. XV80
",2025,"
                                    Шымкент, Туркестанская область

                            ","    Седан
",гибрид,2.5,10000,"    Вариатор
","    Передний привод
","    Слева
",,"    Да
",11,23800000,221804517.webp
221802916,2026-06-05 18:26:51.816706+03:00,Toyota,Camry,"    2014 - 2018 XV50 рестайлинг (V55)
",2016,"
                                    Астана, Акмолинская область

                            ","    Седан
",бензин,2.0,132000,"    Автомат
","    Передний привод
","    Слева
","
                                        серебристый металлик
                                    ","    Да
",9,9300000,221802916.webp
221780706,2026-06-05 18:26:55.242021+03:00,Toyota,Camry,"    2014 - 2018 XV50 рестайлинг (V55)
",2016,"
                                    Актау, Мангистауская область

                            ","    Седан
",бензин,2.5,170000,"    Автомат
","    Передний привод
","    Слева
","
                                        серебристый металлик
                                    ","    Нет
",3,6500000,221780706.webp
